community,total_contrib,males_contrib,females_contrib,total_questions,males_questions,females_questions,total_answers,males_answers,females_answers,total_comments,males_comments,females_comments,category,years,months,males,females,total_ident,total,prop_males,prop_females,prop_ident
academia,21771,20760,1011,1284,1155,129,5356,5100,256,15131,14505,626,life-arts,2,33,1124,99,1223,3554,0.9190515127,0.08094848733,0.3441193022
android,34555,33451,1104,5243,4966,277,8435,8209,226,20877,20276,601,technology,4,50,2828,166,2994,8542,0.9445557782,0.05544422178,0.350503395
anime,4206,3249,957,590,503,87,1068,847,221,2548,1899,649,culture-recreation,1,23,193,28,221,795,0.8733031674,0.1266968326,0.2779874214
apple,72093,70252,1841,11205,10874,331,19366,18877,489,41523,40502,1021,technology,4,51,5321,210,5531,14480,0.9620321822,0.03796781775,0.3819751381
askubuntu,195472,187254,8218,24377,23064,1313,52563,50426,2137,118533,113765,4768,technology,4,52,9502,430,9932,29426,0.9567055981,0.04329440193,0.3375246381
bicycles,18444,18236,208,1370,1332,38,4277,4241,36,12797,12663,134,culture-recreation,4,51,907,38,945,2352,0.9597883598,0.04021164021,0.4017857143
biology,8458,7751,707,1547,1409,138,2116,1925,191,4795,4417,378,science,2,35,617,70,687,1882,0.8981077147,0.1018922853,0.3650371945
bitcoin,14683,14379,304,1477,1435,42,4527,4447,80,8679,8497,182,business,3,39,815,29,844,2369,0.9656398104,0.03436018957,0.3562684677
chemistry,7580,7010,570,870,768,102,2026,1850,176,4684,4392,292,science,2,31,400,36,436,1293,0.9174311927,0.08256880734,0.3372003094
chinese,3862,3524,338,411,385,26,986,870,116,2465,2269,196,culture-recreation,2,35,245,22,267,899,0.9176029963,0.08239700375,0.296996663
christianity,26749,26054,695,1757,1694,63,5643,5555,88,19350,18806,544,culture-recreation,3,39,632,41,673,1662,0.9390787519,0.06092124814,0.4049338147
codegolf,26757,26186,571,614,589,25,6513,6374,139,19630,19223,407,technology,3,46,1637,63,1700,4977,0.9629411765,0.03705882353,0.3415712276
codereview,43193,41722,1471,4093,3939,154,10636,10248,388,28464,27535,929,technology,3,46,4046,155,4201,11683,0.9631040229,0.03689597715,0.3595822991
cogsci,6078,5682,396,663,628,35,1270,1173,97,4145,3881,264,science,2,34,312,32,344,903,0.9069767442,0.09302325581,0.380952381
cooking,22438,18532,3906,2894,2404,490,6771,5519,1252,12773,10609,2164,life-arts,4,52,1602,202,1804,4620,0.8880266075,0.1119733925,0.3904761905
crypto,11082,10905,177,946,880,66,2248,2228,20,7888,7797,91,technology,3,40,653,29,682,1913,0.9574780059,0.04252199413,0.3565081025
cs,19964,19621,343,1508,1415,93,3724,3688,36,14732,14518,214,science,2,32,969,53,1022,2842,0.9481409002,0.0518590998,0.3596059113
cstheory,34534,33777,757,2445,2366,79,6284,6127,157,25805,25284,521,science,4,51,1107,51,1158,2625,0.9559585492,0.04404145078,0.4411428571
dba,65024,62739,2285,5672,5451,221,16497,15879,618,42855,41409,1446,technology,3,46,3268,127,3395,8860,0.9625920471,0.03740795287,0.3831828442
diy,27285,26824,461,3510,3404,106,7206,7133,73,16569,16287,282,life-arts,4,52,1613,70,1683,4074,0.9584076055,0.04159239453,0.413107511
drupal,53188,49927,3261,8422,7814,608,14983,14114,869,29783,27999,1784,technology,3,44,1372,108,1480,4459,0.927027027,0.07297297297,0.331912985
dsp,10944,10715,229,956,893,63,2521,2510,11,7467,7312,155,technology,3,39,460,32,492,1514,0.9349593496,0.06504065041,0.3249669749
electronics,107163,105194,1969,7065,6741,324,26659,26337,322,73440,72117,1323,technology,4,50,2505,92,2597,7495,0.964574509,0.03542549095,0.3464976651
ell,18466,16950,1516,1778,1522,256,4677,4318,359,12011,11110,901,culture-recreation,1,22,704,67,771,2265,0.9130998703,0.0869001297,0.340397351
english,143340,134776,8564,10735,10067,668,32434,29939,2495,100173,94772,5401,culture-recreation,4,51,5348,441,5789,15372,0.9238210399,0.0761789601,0.3765938069
expressionengine,20356,18641,1715,2634,2391,243,6376,5965,411,11346,10285,1061,technology,2,24,358,27,385,741,0.9298701299,0.07012987013,0.5195681511
fitness,12005,10938,1067,1181,1058,123,3000,2695,305,7824,7185,639,life-arts,3,44,734,63,797,2141,0.9209535759,0.07904642409,0.3722559552
freelancing,1580,1394,186,143,134,9,590,501,89,847,759,88,professional,1,18,159,21,180,459,0.8833333333,0.1166666667,0.3921568627
french,5992,4797,1195,629,584,45,1587,1233,354,3776,2980,796,culture-recreation,3,39,321,33,354,1038,0.906779661,0.09322033898,0.3410404624
gamedev,56714,54015,2699,4920,4672,248,15072,14490,582,36722,34853,1869,technology,4,52,2803,128,2931,8514,0.956328898,0.04367110201,0.3442565187
gaming,77322,66582,10740,11431,10084,1347,18666,16040,2626,47225,40458,6767,culture-recreation,4,52,3671,201,3872,11996,0.948088843,0.05191115702,0.3227742581
gardening,6361,5669,692,1094,963,131,1551,1339,212,3716,3367,349,life-arts,3,41,433,61,494,1209,0.8765182186,0.1234817814,0.4086021505
genealogy,1836,1530,306,232,195,37,587,459,128,1017,876,141,life-arts,2,25,108,39,147,280,0.7346938776,0.2653061224,0.525
german,11160,10860,300,862,838,24,2473,2367,106,7825,7655,170,culture-recreation,3,42,499,44,543,1591,0.9189686924,0.08103130755,0.3412947832
gis,63033,59082,3951,8158,7292,866,16850,16214,636,38025,35576,2449,technology,4,52,1757,159,1916,5274,0.9170146138,0.08298538622,0.3632916193
graphicdesign,25204,22178,3026,2229,2039,190,7774,6815,959,15201,13324,1877,life-arts,3,46,1497,110,1607,4419,0.9315494711,0.06845052894,0.363656936
