,community,males,females,total_ident,total,prop_males,prop_females,prop_ident
0,academia,1124.0,99.0,1223.0,3554.0,0.9190515126737531,0.08094848732624693,0.3441193021947102
1,android,2828.0,166.0,2994.0,8542.0,0.9445557782231129,0.055444221776887105,0.3505033949894638
2,anime,193.0,28.0,221.0,795.0,0.8733031674208145,0.12669683257918551,0.2779874213836478
3,apple,5321.0,210.0,5531.0,14480.0,0.9620321822455252,0.037967817754474775,0.381975138121547
4,arduino,143.0,9.0,152.0,426.0,0.9407894736842105,0.05921052631578947,0.3568075117370892
5,askubuntu,9502.0,430.0,9932.0,29426.0,0.9567055980668546,0.04329440193314539,0.33752463807517163
6,astronomy,171.0,10.0,181.0,528.0,0.9447513812154696,0.055248618784530384,0.3428030303030303
7,aviation,293.0,5.0,298.0,809.0,0.9832214765100671,0.016778523489932886,0.3683559950556242
8,beer,89.0,5.0,94.0,242.0,0.9468085106382979,0.05319148936170213,0.3884297520661157
9,bicycles,907.0,38.0,945.0,2352.0,0.9597883597883597,0.04021164021164021,0.4017857142857143
10,biology,617.0,70.0,687.0,1882.0,0.8981077147016011,0.10189228529839883,0.3650371944739639
11,bitcoin,815.0,29.0,844.0,2369.0,0.9656398104265402,0.034360189573459717,0.3562684677078936
12,blender,212.0,18.0,230.0,817.0,0.9217391304347826,0.0782608695652174,0.28151774785801714
13,boardgames,664.0,19.0,683.0,1815.0,0.972181551976574,0.027818448023426062,0.3763085399449036
14,bricks,178.0,14.0,192.0,515.0,0.9270833333333334,0.07291666666666667,0.37281553398058254
15,buddhism,55.0,6.0,61.0,194.0,0.9016393442622951,0.09836065573770492,0.31443298969072164
16,chemistry,400.0,36.0,436.0,1293.0,0.9174311926605505,0.08256880733944955,0.337200309358082
17,chess,226.0,13.0,239.0,665.0,0.9456066945606695,0.05439330543933055,0.3593984962406015
18,chinese,245.0,22.0,267.0,899.0,0.9176029962546817,0.08239700374531835,0.29699666295884314
19,christianity,632.0,41.0,673.0,1662.0,0.9390787518573551,0.06092124814264487,0.4049338146811071
20,codegolf,1637.0,63.0,1700.0,4977.0,0.9629411764705882,0.03705882352941176,0.341571227647177
21,codereview,4046.0,155.0,4201.0,11683.0,0.9631040228517019,0.03689597714829802,0.35958229906702044
22,cogsci,312.0,32.0,344.0,903.0,0.9069767441860465,0.09302325581395349,0.38095238095238093
23,cooking,1602.0,202.0,1804.0,4620.0,0.8880266075388027,0.11197339246119734,0.3904761904761905
