,community,total_contrib,males_contrib,females_contrib,total_questions,males_questions,females_questions,total_answers,males_answers,females_answers,total_comments,males_comments,females_comments
0,academia,21771.0,20760.0,1011.0,1284.0,1155.0,129.0,5356.0,5100.0,256.0,15131.0,14505.0,626.0
1,android,34555.0,33451.0,1104.0,5243.0,4966.0,277.0,8435.0,8209.0,226.0,20877.0,20276.0,601.0
2,anime,4206.0,3249.0,957.0,590.0,503.0,87.0,1068.0,847.0,221.0,2548.0,1899.0,649.0
3,apple,72093.0,70252.0,1841.0,11205.0,10874.0,331.0,19366.0,18877.0,489.0,41523.0,40502.0,1021.0
4,arduino,2144.0,2078.0,66.0,217.0,205.0,12.0,461.0,455.0,6.0,1466.0,1418.0,48.0
5,askubuntu,195472.0,187254.0,8218.0,24377.0,23064.0,1313.0,52563.0,50426.0,2137.0,118533.0,113765.0,4768.0
6,astronomy,2340.0,2251.0,89.0,249.0,225.0,24.0,658.0,633.0,25.0,1433.0,1393.0,40.0
7,aviation,3844.0,3834.0,10.0,459.0,457.0,2.0,718.0,715.0,3.0,2667.0,2662.0,5.0
8,beer,563.0,517.0,46.0,83.0,76.0,7.0,175.0,166.0,9.0,305.0,275.0,30.0
9,bicycles,18444.0,18236.0,208.0,1370.0,1332.0,38.0,4277.0,4241.0,36.0,12797.0,12663.0,134.0
10,biology,8458.0,7751.0,707.0,1547.0,1409.0,138.0,2116.0,1925.0,191.0,4795.0,4417.0,378.0
11,bitcoin,14683.0,14379.0,304.0,1477.0,1435.0,42.0,4527.0,4447.0,80.0,8679.0,8497.0,182.0
12,blender,5128.0,4698.0,430.0,839.0,734.0,105.0,1169.0,1102.0,67.0,3120.0,2862.0,258.0
13,boardgames,10063.0,9836.0,227.0,1464.0,1411.0,53.0,2753.0,2705.0,48.0,5846.0,5720.0,126.0
14,bricks,1107.0,994.0,113.0,225.0,193.0,32.0,308.0,289.0,19.0,574.0,512.0,62.0
15,buddhism,784.0,733.0,51.0,84.0,83.0,1.0,273.0,246.0,27.0,427.0,404.0,23.0
16,chemistry,7580.0,7010.0,570.0,870.0,768.0,102.0,2026.0,1850.0,176.0,4684.0,4392.0,292.0
17,chess,4265.0,4228.0,37.0,416.0,402.0,14.0,1270.0,1264.0,6.0,2579.0,2562.0,17.0
18,chinese,3862.0,3524.0,338.0,411.0,385.0,26.0,986.0,870.0,116.0,2465.0,2269.0,196.0
19,christianity,26749.0,26054.0,695.0,1757.0,1694.0,63.0,5643.0,5555.0,88.0,19350.0,18806.0,544.0
20,codegolf,26757.0,26186.0,571.0,614.0,589.0,25.0,6513.0,6374.0,139.0,19630.0,19223.0,407.0
21,codereview,43193.0,41722.0,1471.0,4093.0,3939.0,154.0,10636.0,10248.0,388.0,28464.0,27535.0,929.0
22,cogsci,6078.0,5682.0,396.0,663.0,628.0,35.0,1270.0,1173.0,97.0,4145.0,3881.0,264.0
23,cooking,22438.0,18532.0,3906.0,2894.0,2404.0,490.0,6771.0,5519.0,1252.0,12773.0,10609.0,2164.0
24,craftcms,3296.0,2954.0,342.0,456.0,434.0,22.0,959.0,864.0,95.0,1881.0,1656.0,225.0
25,crypto,11082.0,10905.0,177.0,946.0,880.0,66.0,2248.0,2228.0,20.0,7888.0,7797.0,91.0
26,cs,19964.0,19621.0,343.0,1508.0,1415.0,93.0,3724.0,3688.0,36.0,14732.0,14518.0,214.0
27,cstheory,34534.0,33777.0,757.0,2445.0,2366.0,79.0,6284.0,6127.0,157.0,25805.0,25284.0,521.0
28,datascience,633.0,598.0,35.0,65.0,60.0,5.0,229.0,223.0,6.0,339.0,315.0,24.0
29,dba,65024.0,62739.0,2285.0,5672.0,5451.0,221.0,16497.0,15879.0,618.0,42855.0,41409.0,1446.0
30,diy,27285.0,26824.0,461.0,3510.0,3404.0,106.0,7206.0,7133.0,73.0,16569.0,16287.0,282.0
31,drupal,53188.0,49927.0,3261.0,8422.0,7814.0,608.0,14983.0,14114.0,869.0,29783.0,27999.0,1784.0
32,dsp,10944.0,10715.0,229.0,956.0,893.0,63.0,2521.0,2510.0,11.0,7467.0,7312.0,155.0
33,earthscience,852.0,839.0,13.0,96.0,95.0,1.0,218.0,213.0,5.0,538.0,531.0,7.0
34,ebooks,1396.0,1340.0,56.0,159.0,145.0,14.0,401.0,394.0,7.0,836.0,801.0,35.0
35,electronics,107163.0,105194.0,1969.0,7065.0,6741.0,324.0,26659.0,26337.0,322.0,73440.0,72117.0,1323.0
36,ell,18466.0,16950.0,1516.0,1778.0,1522.0,256.0,4677.0,4318.0,359.0,12011.0,11110.0,901.0
37,english,143340.0,134776.0,8564.0,10735.0,10067.0,668.0,32434.0,29939.0,2495.0,100173.0,94772.0,5401.0
38,expatriates,1606.0,1144.0,462.0,121.0,114.0,7.0,403.0,307.0,96.0,1082.0,723.0,359.0
39,expressionengine,20356.0,18641.0,1715.0,2634.0,2391.0,243.0,6376.0,5965.0,411.0,11346.0,10285.0,1061.0
40,fitness,12005.0,10938.0,1067.0,1181.0,1058.0,123.0,3000.0,2695.0,305.0,7824.0,7185.0,639.0
41,freelancing,1580.0,1394.0,186.0,143.0,134.0,9.0,590.0,501.0,89.0,847.0,759.0,88.0
42,french,5992.0,4797.0,1195.0,629.0,584.0,45.0,1587.0,1233.0,354.0,3776.0,2980.0,796.0
43,gamedev,56714.0,54015.0,2699.0,4920.0,4672.0,248.0,15072.0,14490.0,582.0,36722.0,34853.0,1869.0
44,gaming,77322.0,66582.0,10740.0,11431.0,10084.0,1347.0,18666.0,16040.0,2626.0,47225.0,40458.0,6767.0
45,gardening,6361.0,5669.0,692.0,1094.0,963.0,131.0,1551.0,1339.0,212.0,3716.0,3367.0,349.0
46,genealogy,1836.0,1530.0,306.0,232.0,195.0,37.0,587.0,459.0,128.0,1017.0,876.0,141.0
47,german,11160.0,10860.0,300.0,862.0,838.0,24.0,2473.0,2367.0,106.0,7825.0,7655.0,170.0
48,gis,63033.0,59082.0,3951.0,8158.0,7292.0,866.0,16850.0,16214.0,636.0,38025.0,35576.0,2449.0
49,graphicdesign,25204.0,22178.0,3026.0,2229.0,2039.0,190.0,7774.0,6815.0,959.0,15201.0,13324.0,1877.0
50,ham,2045.0,1977.0,68.0,224.0,221.0,3.0,554.0,538.0,16.0,1267.0,1218.0,49.0
51,hermeneutics,8131.0,7571.0,560.0,794.0,714.0,80.0,1995.0,1926.0,69.0,5349.0,4933.0,416.0
52,hinduism,1725.0,1708.0,17.0,182.0,180.0,2.0,366.0,363.0,3.0,1177.0,1165.0,12.0
53,history,13573.0,13057.0,516.0,1053.0,960.0,93.0,2384.0,2256.0,128.0,10136.0,9841.0,295.0
54,homebrew,8970.0,8952.0,18.0,1138.0,1135.0,3.0,2793.0,2788.0,5.0,5039.0,5029.0,10.0
55,islam,5576.0,5240.0,336.0,613.0,554.0,59.0,1659.0,1532.0,127.0,3304.0,3154.0,150.0
56,italian,853.0,708.0,145.0,177.0,141.0,36.0,138.0,115.0,23.0,538.0,452.0,86.0
57,japanese,12170.0,11707.0,463.0,1423.0,1331.0,92.0,2167.0,2084.0,83.0,8580.0,8292.0,288.0
58,joomla,1393.0,1328.0,65.0,105.0,98.0,7.0,487.0,463.0,24.0,801.0,767.0,34.0
59,judaism,48789.0,45684.0,3105.0,5097.0,4671.0,426.0,8936.0,8659.0,277.0,34758.0,32356.0,2402.0
60,linguistics,6955.0,6790.0,165.0,669.0,630.0,39.0,1157.0,1134.0,23.0,5130.0,5027.0,103.0
61,magento,21879.0,20594.0,1285.0,2304.0,2069.0,235.0,6571.0,6249.0,322.0,13004.0,12276.0,728.0
62,martialarts,2866.0,2735.0,131.0,192.0,188.0,4.0,867.0,812.0,55.0,1807.0,1735.0,72.0
