,category,community,frequency_difference_mean,frequency_difference_median,frequency_pvalue,lifetime_difference_median,lifetime_pvalue
0,life-arts,academia,0.20353435381106388,0.20302230046948377,0.22638836195620193,-2.1155268055555556,0.29519023439403413
1,technology,android,0.06369933059343036,0.19047619047619047,0.15682882985181942,0.0023983796296296322,0.19885991538315861
2,culture-recreation,anime,0.3784244375814363,0.4642857142857142,0.06229155793197876,2.0728866435185185,0.9299066684930355
3,technology,apple,0.04199857277804364,0.036111111111111205,0.5213684686240134,-14.504534594907406,0.00032850982601099533
4,technology,askubuntu,0.1095688303866913,0.2333333333333334,0.0011481495346839863,-29.001326539351854,0.9585613614665932
5,culture-recreation,bicycles,0.050885572460099615,0.054166666666666696,0.5784111334237165,-7.872976516203704,0.12291830052902611
6,science,biology,-0.13827884087933318,-0.25,0.16032086845047533,9.05248935185185,0.2971383453596088
7,business,bitcoin,-0.06932971154476952,0.19999999999999996,0.989179055685307,-1.4349822569444446,0.31586394180506283
8,science,chemistry,0.05320941862015571,0.08571428571428585,0.31554365487767444,9.368672997685184,0.6558705520576649
9,culture-recreation,chinese,0.635193239212404,0.33730158730158744,0.5412071372824427,-6.689109340277778,0.46073197217144635
10,culture-recreation,christianity,-0.1459824612523366,0.0,0.5320312882618441,-6.883750185185185,0.5957943472797458
11,technology,codegolf,0.15861210652906688,0.375,0.1359217203329012,4.535771956018518,0.7899360634865294
12,technology,codereview,0.021898497163524766,0.0,0.5454681992025195,0.23407079861111058,0.4764902200960105
13,science,cogsci,0.10143360621457842,-0.008333333333333304,0.7572856739904237,-0.829724525462963,0.46627080767401474
14,life-arts,cooking,0.11043805021822872,0.30000000000000004,0.0022323371038522007,15.973619988425927,0.2702743913592496
15,technology,crypto,-0.11463869587855413,0.06666666666666665,0.6242178056193768,14.329761608796296,0.7085298520430274
16,science,cs,-0.03947611377568494,-0.08333333333333326,0.6771673722257565,8.506829594907408,0.4953500322590745
17,science,cstheory,-0.09471837664380356,-0.019607843137255054,0.6777351093151437,-20.264588356481482,0.09254860846944347
18,technology,dba,-0.033936840825544046,0.0,0.9181391963191805,1.9060501504629634,0.7897243263662772
19,life-arts,diy,0.011084842398850325,-0.011904761904762085,0.9469880940683038,-12.61902587962963,0.009250952104862684
20,technology,drupal,-0.04386229856225721,-0.007936507936507908,0.7906825172831652,101.75522064814817,0.7715613700548252
21,technology,dsp,0.16611993942356107,0.0,0.7169072370841638,-17.150386608796296,0.001705493908300527
22,technology,electronics,0.20999594827111823,0.14638643067846613,0.8554167672180718,-10.53327792824074,0.20905181311405696
23,culture-recreation,ell,0.13553726011103118,0.08333333333333326,0.30010895370284507,4.341538611111112,0.9813451225774655
24,culture-recreation,english,0.2932339618329014,0.03846153846153855,0.005897432068259875,-9.046544872685185,0.003144978023285101
25,technology,expressionengine,0.14931621330287337,-0.019230769230769162,0.5608046247227642,inf,0.21117853786887653
26,life-arts,fitness,0.12785744170045232,-0.33333333333333326,0.462557018748032,-1.526289548611111,0.23834695397554806
27,professional,freelancing,-0.2931220529476881,-0.33333333333333326,0.1950287741334381,1.64425,0.12980368307572437
28,culture-recreation,french,-0.08368704648152092,-0.08333333333333326,0.6014806622917526,2.44995011574074,0.16083857770107635
29,technology,gamedev,0.18947892266101518,0.26488095238095233,0.05928919720418939,-10.721789594907408,0.7480411070359936
30,culture-recreation,gaming,0.1131254140962008,0.03571428571428581,0.3857791664033138,-4.626349108796296,0.33416702956591127
31,life-arts,gardening,0.03322192662391377,-0.1428571428571428,0.6209315602398343,-0.5018266203703705,0.40552738965666546
32,life-arts,genealogy,0.13969254574341283,0.5,0.17215353329253436,-1.7722483101851851,0.4189540602000157
33,culture-recreation,german,-0.07154421188127791,0.1625000000000001,0.44832028733340323,-7.06969375,0.2488907360289766
34,technology,gis,0.0971549871593238,0.16666666666666674,0.048860355796845605,23.479561666666683,0.4517817052397298
35,life-arts,graphicdesign,-0.07449436304059653,-0.05714285714285716,0.6711553358669755,2.2863753935185187,0.34973366853112764
36,culture-recreation,hermeneutics,-0.00718961775342275,0.02083333333333326,0.650627583909695,13.520588645833335,0.8134230568741465
37,culture-recreation,history,0.01750219291822841,0.0,0.9667255510981022,2.398115775462962,0.1955138114581032
38,culture-recreation,islam,-0.20484592287746706,-0.25,0.5718777374821424,-6.674115763888889,0.4192440554370783
39,culture-recreation,japanese,-0.08834836910449373,-0.3055555555555556,0.27596627407144947,-7.07804204861111,0.16294873294273038
40,culture-recreation,judaism,-0.21583688704113735,-0.10221747149564075,0.32380592211132164,-52.947921875,0.3705897118302811
41,science,linguistics,-0.34883100844282033,-0.4285714285714286,0.14868193721563683,-5.6532758912037036,0.20036433688972
42,technology,magento,-0.001818882973500191,0.0359848484848484,0.38264208178447,6.291446828703712,0.6009072353624806
43,science,math,0.18994995610791188,0.10000000000000009,1.680208000550083e-07,-16.22874171296297,0.054699754071592395
44,technology,mathematica,0.19071616669466973,-0.1333333333333333,0.5069754500904785,-49.064018865740735,0.31771083619748264
45,science,mathoverflow,-0.005413179116795286,-0.012845849802371578,0.590554516310441,-327.75987936342597,9.222933074626971e-07
46,culture-recreation,mechanics,-0.1685337647698557,-0.30434782608695654,0.17533328336759924,-6.417729212962962,0.017977652123389712
47,life-arts,money,0.011300573670551595,-0.08333333333333326,0.4729604326449921,-2.3087060532407406,0.13567021693627157
48,life-arts,movies,-0.2683056607434935,-0.07878787878787863,0.032273108839483276,-0.04540263888888896,0.6653209153264715
49,life-arts,music,0.05972147304375408,0.16666666666666674,0.16228555295959668,26.310661030092593,0.4424136231382725
50,culture-recreation,outdoors,0.13380979768487777,0.10662525879917184,0.28977812082811727,-12.113822835648147,0.08234486624786636
51,life-arts,parenting,0.2773290574614049,0.3529411764705883,0.009921431095959604,-1.2787998842592592,0.2581236488617622
52,science,philosophy,-0.10409152306611125,-0.23863636363636376,0.38899594428209383,-1.663282476851852,0.021300402012136923
53,life-arts,photo,0.0405649526150762,-0.16666666666666652,0.5372127590388878,-4.983799155092592,0.003948523264831149
54,science,physics,-0.09284682718410164,0.0,0.7073999865284022,0.06143682870370526,0.13504749847369776
55,business,pm,0.08155898649353754,0.47115384615384626,0.1710325497238404,5.025819363425926,0.31060360150689603
56,life-arts,productivity,0.08502799982822129,0.17142857142857126,0.1640441989090371,6.253819282407408,0.34638292236078194
57,technology,programmers,-0.020048903285103892,-0.1071428571428572,0.36035919984966003,-15.122953310185187,0.08176051630310334
58,business,quant,0.3071068418137124,0.03409090909090917,0.23129815845074841,57.63279822916667,0.7205916952670035
59,technology,raspberrypi,-0.19424277379648935,-0.16666666666666674,0.36546635826366336,13.426306180555557,0.3320122545125388
60,culture-recreation,rpg,-0.026204823262385046,0.0,0.8513716621667892,-24.265254351851855,0.05325861567203107
61,culture-recreation,russian,-0.09957107712001445,-0.3285714285714285,0.29509064611404856,20.184276770833335,0.7724305239770914
62,technology,salesforce,-0.12398145119118498,-0.08333333333333326,0.5094186264584046,-13.214562384259239,0.9327115025333184
63,science,scicomp,-0.08623904625070367,0.0,0.7613076420016768,-35.94297041666667,0.07089366207011635
64,life-arts,scifi,0.07739597717151891,-0.10620300751879697,0.7868012467961417,-8.804869050925927,1.7583640777986028e-05
65,technology,security,0.013501009634875993,0.08333333333333326,0.5105576270373532,-1.8629971875,0.45095409961188304
66,technology,serverfault,0.02449048509452223,0.0,0.8659808884391709,-35.29098900462965,0.04191206761803062
67,technology,sharepoint,0.30531487912222044,0.17333333333333334,0.008171925565810053,145.00009965277778,0.38687453520399595
68,culture-recreation,skeptics,-0.02898519394272081,0.0,0.7705456666686371,6.5261049421296295,0.4869720998527193
69,technology,sound,0.15838484946966402,0.1207430340557274,0.9688873520909428,-92.24316711805554,0.40897560147109013
70,culture-recreation,spanish,0.023685587983683476,0.22368421052631593,0.6960856172581409,-17.335032094907405,0.13151584926905482
71,technology,sqa,0.03532220476412329,0.2857142857142858,0.23639600196110377,17.9088624537037,0.3136125106960753
72,technology,stackapps,0.16389308135081015,0.0,0.4059738670467222,-0.6962992361111111,0.14827109047531198
73,technology,stackoverflow,0.14353173436816125,0.14527444296230407,7.142908782694575e-35,-346.874280023148,2.5017680249686246e-69
74,science,stats,0.15189776701266422,0.17283950617283939,0.01712220216539482,37.656336157407395,0.9081003672248957
75,technology,superuser,0.07024771289513065,0.0,0.16761680052970152,-70.92868746527778,0.0025518413307880367
76,technology,tex,0.10591639633266414,0.15384615384615374,0.052711306552937535,11.029087500000003,0.07546519222469877
77,culture-recreation,travel,0.03061474783047191,0.18333333333333335,0.45395203227321734,-1.9197413541666666,0.0056960897566764885
78,technology,unix,0.019419109980009397,0.04166666666666674,0.7365297652068153,-4.299404363425926,0.12876323901316453
79,technology,ux,0.006992067925216006,0.25,0.11880405342413751,13.680871608796295,0.49203394758615593
80,technology,webapps,-0.03768818553018649,0.0,0.43667913156809224,-0.5421750694444444,0.06307028585440516
81,technology,webmasters,0.020076197698512654,-0.19999999999999996,0.7652675652552805,3.5919642824074076,0.8060582222174744
82,technology,wordpress,0.13109062167282914,0.22971014492753628,0.016716709855685276,74.71549135416666,0.016504330219045866
83,professional,workplace,0.003670477232039726,0.25,0.2101150253500138,2.885632060185185,0.23871325819991773
84,life-arts,writers,-0.05318100170434992,-0.00023071244001471314,0.9081477678485154,1.1189015740740742,0.5324131910828047
