,category,community,women_coef,women_pvalue,women_rsquare,women_rsquare_adj
0,culture-recreation,rpg,0.004401442779351068,0.18420531444603494,0.2366485030594504,0.12759828921080052
1,culture-recreation,russian,0.001388888888888891,0.9469840740789376,0.001734777180176339,-0.3310202970930982
2,technology,salesforce,0.0009705788157763889,0.8275092934862026,0.018466990927148763,-0.30871067876380165
3,science,scicomp,0.0061630107001652374,0.2768586633191244,0.28344546327704434,0.1043068290963054
4,life-arts,scifi,0.0018361154177798326,0.66880507764373,0.0325877577873086,-0.12864761591480667
5,technology,security,0.00105636374900795,0.2244360520695375,0.23410537014688038,0.10645626517136042
6,technology,serverfault,0.0012580116385918745,0.05837384777940738,0.34292154046706025,0.269912822741178
7,technology,sharepoint,0.0017389856477879116,0.5388177667500215,0.04899905799275461,-0.06987605975815114
8,culture-recreation,skeptics,-0.0014963665173188352,0.8121369978428583,0.010175937021583592,-0.15479474014148598
9,technology,sound,0.011454045755121024,0.24519212221784517,0.16430637339047083,0.059844670064279626
10,culture-recreation,spanish,0.004411061801425066,0.3228808092573606,0.2409124696893401,0.05114058711167513
11,technology,sqa,-0.007998959710550011,0.09726897381533314,0.45345684580397005,0.3441482149647641
12,technology,stackapps,0.00043645375622847877,0.9481080626518092,0.0006495457031975294,-0.14211480491063133
13,technology,stackoverflow,0.005203807431807819,2.601357439007687e-09,0.9643376335473309,0.961095600233452
14,science,stats,0.005574773558638997,0.14708527643967606,0.2751739865106201,0.1716274131549944
15,technology,superuser,0.001667709358961574,0.010652367061069869,0.53383729164672,0.4820414351630222
16,technology,tex,0.004961799478567482,0.053042505155173725,0.4356320490249018,0.3550080560284593
17,culture-recreation,travel,-0.00144216977532095,0.681167726726144,0.036591154410202775,-0.15609061470775654
18,technology,unix,0.0006065854050447414,0.7138722716332382,0.020408994402579927,-0.11953257782562288
19,technology,ux,0.005836312788428928,0.18254862619490833,0.23820915110014773,0.12938188697159747
20,technology,webapps,-0.0017078056356128924,0.46376739899341657,0.07900368612275144,-0.05256721585971258
21,technology,webmasters,0.005379770297202664,0.03618571429622028,0.4884673604504711,0.4153912690862528
22,technology,wordpress,0.0032435760898043703,0.04190521287098563,0.46868989086404433,0.39278844670176494
23,professional,workplace,0.012378593853889609,0.17313278771271667,0.5136258269475646,0.35150110259675293
24,life-arts,writers,-0.011489355943472453,0.07951976400212857,0.4256424518247002,0.32991619379548354
25,life-arts,academia,0.008566485202041563,0.012725682408754409,0.8215998722038766,0.7769998402548458
26,technology,android,0.0016464673279131341,0.5961659254631384,0.04956170003299054,-0.10884468329484442
27,culture-recreation,anime,-0.006658314746690604,0.8362625199651408,0.02680996236816613,-0.4597850564477508
28,technology,apple,0.00011057068395630473,0.9390380967296534,0.0008968213815416792,-0.14183220413538078
29,technology,askubuntu,0.0011107336128751595,0.1572022511432618,0.26386927530705473,0.15870774320806258
30,culture-recreation,bicycles,0.013534719624429467,0.15282242690314304,0.2686807230111715,0.16420654058419604
31,science,biology,-0.008389752493198802,0.3630674436439245,0.20819862327112093,0.010248279088901135
32,business,bitcoin,0.001722605740838561,0.7511023647858395,0.021973939043424595,-0.1736312731478904
33,science,chemistry,-0.007863872523429533,0.5098445162244977,0.1564499492849305,-0.124733400953426
34,culture-recreation,chinese,-0.015995727559316417,0.02043256755657521,0.7759845059421702,0.7199806324277127
35,culture-recreation,christianity,-0.006711798726814007,0.24250600884621729,0.259862363856467,0.11183483662776039
36,technology,codegolf,0.0009798796204369736,0.7911810377546338,0.012613756579695545,-0.15195061732368864
37,technology,codereview,0.0005539145240332113,0.694664613925374,0.027510331254783305,-0.13457128020275277
